Date,market,Close,Regime_Name,Stress_Score,Signal,Signal_Label,Signal_Reason
2024-06-27,bist100,10680.84375,Calm/Bull,0.0018676322792706,1,BUY,Calm/Bull low stress=0.00
2024-06-28,bist100,10647.84375,Calm/Bull,0.0008027005517309,1,BUY,Calm/Bull low stress=0.00
2024-07-01,bist100,10343.2451171875,Stress/Bear,0.9997382222648056,-1,REDUCE,Stress rising=1.00↑
2024-07-02,bist100,10446.14453125,Calm/Bull,0.0013620648760404,1,BUY,Calm/Bull low stress=0.00
2024-07-03,bist100,10682.1435546875,Transition,0.0091169395935878,1,BUY,Transition BUY=0.01
2024-07-04,bist100,10872.5419921875,Transition,0.0059309173912784,1,BUY,Transition BUY=0.01
2024-07-05,bist100,10851.7421875,Calm/Bull,0.0004645719649383,1,BUY,Calm/Bull low stress=0.00
2024-07-08,bist100,10864.0419921875,Calm/Bull,0.0008503998942836,1,BUY,Calm/Bull low stress=0.00
2024-07-09,bist100,10796.5419921875,Calm/Bull,0.0007571965121985,1,BUY,Calm/Bull low stress=0.00
2024-07-10,bist100,10743.2431640625,Calm/Bull,0.0012275417584284,1,BUY,Calm/Bull low stress=0.00
2024-07-11,bist100,11024.2412109375,Transition,0.0256606929629255,1,BUY,Transition BUY=0.03
2024-07-12,bist100,11064.841796875,Calm/Bull,0.0009212334090665,1,BUY,Calm/Bull low stress=0.00
2024-07-16,bist100,11139.240234375,Calm/Bull,0.000717108722512,1,BUY,Calm/Bull low stress=0.00
2024-07-17,bist100,11134.041015625,Calm/Bull,0.0003697511751214,1,BUY,Calm/Bull low stress=0.00
2024-07-18,bist100,11139.4404296875,Calm/Bull,0.0003722540532446,1,BUY,Calm/Bull low stress=0.00
2024-07-19,bist100,11156.140625,Calm/Bull,0.000155834255649,1,BUY,Calm/Bull low stress=0.00
2024-07-22,bist100,11172.740234375,Calm/Bull,0.0001280110480649,1,BUY,Calm/Bull low stress=0.00
2024-07-23,bist100,11089.44140625,Calm/Bull,0.0002899776241006,1,BUY,Calm/Bull low stress=0.00
2024-07-24,bist100,10991.541015625,Calm/Bull,0.0006739822524909,1,BUY,Calm/Bull low stress=0.00
2024-07-25,bist100,10871.4423828125,Calm/Bull,0.0002905625825788,1,BUY,Calm/Bull low stress=0.00
2024-07-26,bist100,10891.3427734375,Calm/Bull,0.0001386465632566,1,BUY,Calm/Bull low stress=0.00
2024-07-29,bist100,10733.7431640625,Calm/Bull,0.0005777780737564,1,BUY,Calm/Bull low stress=0.00
2024-07-30,bist100,10691.6435546875,Calm/Bull,2.4041795671999857e-05,1,BUY,Calm/Bull low stress=0.00
2024-07-31,bist100,10638.54296875,Calm/Bull,1.6005846137745556e-05,1,BUY,Calm/Bull low stress=0.00
2024-08-01,bist100,10798.0419921875,Calm/Bull,9.967353041186305e-06,1,BUY,Calm/Bull low stress=0.00
2024-08-02,bist100,10473.4443359375,Calm/Bull,0.0018349748325126,1,BUY,Calm/Bull low stress=0.00
2024-08-05,bist100,9893.34765625,Stress/Bear,0.99955598455357,-1,REDUCE,Stress rising=1.00↑
2024-08-06,bist100,9881.1474609375,Stress/Bear,0.5471457386121414,-1,REDUCE,Stress/Bear active=0.55
2024-08-07,bist100,10024.2470703125,Calm/Bull,0.1296888999543481,1,BUY,Calm/Bull low stress=0.13
2024-08-08,bist100,10098.4462890625,Calm/Bull,0.0921113193777817,1,BUY,Calm/Bull low stress=0.09
2024-08-09,bist100,9907.34765625,Calm/Bull,0.0204048002808661,1,BUY,Calm/Bull low stress=0.02
2024-08-12,bist100,9828.5478515625,Calm/Bull,0.0274129971460433,1,BUY,Calm/Bull low stress=0.03
2024-08-13,bist100,9920.546875,Calm/Bull,0.0231435458848272,1,BUY,Calm/Bull low stress=0.02
2024-08-14,bist100,9830.8486328125,Calm/Bull,0.0038243257923028,1,BUY,Calm/Bull low stress=0.00
2024-08-15,bist100,9982.947265625,Calm/Bull,0.0521074118160174,1,BUY,Calm/Bull low stress=0.05
2024-08-16,bist100,9821.9482421875,Calm/Bull,0.0218236777026653,1,BUY,Calm/Bull low stress=0.02
