Date,market,Close,Regime,Regime_Name,Stress_Score
2024-09-13,dax,18699.400390625,0,Calm/Bull,5.469080165211862e-06
2024-09-16,dax,18633.109375,0,Calm/Bull,2.5733666975327285e-07
2024-09-17,dax,18726.080078125,0,Calm/Bull,6.726441057276539e-07
2024-09-18,dax,18711.490234375,0,Calm/Bull,6.782987705636238e-07
2024-09-19,dax,19002.380859375,0,Calm/Bull,0.0001538703985111236
2024-09-20,dax,18720.009765625,2,Stress/Bear,0.9999983674066741
2024-09-23,dax,18846.7890625,0,Calm/Bull,1.2613263927973222e-06
2024-09-24,dax,18996.630859375,0,Calm/Bull,8.140596857299326e-07
2024-09-25,dax,18918.5,0,Calm/Bull,6.395328331623802e-07
2024-09-26,dax,19238.359375,0,Calm/Bull,4.028774136827628e-05
2024-09-27,dax,19473.630859375,0,Calm/Bull,0.00018777085175822387
2024-09-30,dax,19324.9296875,0,Calm/Bull,2.6261811512413123e-05
2024-10-01,dax,19213.140625,0,Calm/Bull,2.8142143408662833e-05
2024-10-02,dax,19164.75,0,Calm/Bull,1.9988167888193648e-06
2024-10-03,dax,19015.41015625,0,Calm/Bull,7.634737573807626e-06
2024-10-04,dax,19120.9296875,0,Calm/Bull,2.1888693935601596e-05
2024-10-07,dax,19104.099609375,0,Calm/Bull,2.072866862924209e-06
2024-10-08,dax,19066.470703125,0,Calm/Bull,1.2119680087191932e-06
2024-10-09,dax,19254.9296875,0,Calm/Bull,6.682363225956388e-06
2024-10-10,dax,19210.900390625,0,Calm/Bull,5.005785570332558e-07
2024-10-11,dax,19373.830078125,0,Calm/Bull,8.227931850401243e-07
2024-10-14,dax,19508.2890625,0,Calm/Bull,5.076000110566979e-07
2024-10-15,dax,19486.189453125,0,Calm/Bull,2.7055887364407678e-06
2024-10-16,dax,19432.810546875,0,Calm/Bull,8.07213582624775e-07
2024-10-17,dax,19583.390625,0,Calm/Bull,2.798641765815487e-07
2024-10-18,dax,19657.369140625,0,Calm/Bull,9.244207018117687e-08
2024-10-21,dax,19461.189453125,0,Calm/Bull,1.4883843800587166e-07
