Date,Equity,Position,Trade,Close,Signal,Regime,Target_Pct
2024-03-12,11100.369507808859,0.6178848831978714,,17965.109375,1,Calm/Bull,1.0
2024-03-13,11098.065714367405,0.6178848831978714,,17961.380859375,1,Calm/Bull,1.0
2024-03-14,11086.114710464459,0.6178848831978714,,17942.0390625,1,Calm/Bull,1.0
2024-03-15,11071.70234644081,0.0,SELL,17936.650390625,-1,Stress/Bear,0.0
2024-03-18,11071.70234644081,0.0,,17932.6796875,1,Calm/Bull,1.0
2024-03-19,11071.70234644081,0.0,,17987.490234375,1,Calm/Bull,1.0
2024-03-20,11060.63064409437,0.6139633805845193,BUY,18015.130859375,1,Calm/Bull,1.0
2024-03-21,11161.393786491122,0.6139633805845193,,18179.25,1,Calm/Bull,1.0
2024-03-22,11177.780133357699,0.6139633805845193,,18205.939453125,1,Calm/Bull,1.0
2024-03-25,11211.775957263111,0.6139633805845193,,18261.310546875,1,Calm/Bull,1.0
2024-03-26,11287.31743601956,0.6139633805845193,,18384.349609375,1,Calm/Bull,1.0
2024-03-27,11344.256543832636,0.6139633805845193,,18477.08984375,1,Calm/Bull,1.0
2024-03-28,11353.711819723085,0.6139633805845193,,18492.490234375,1,Calm/Bull,1.0
2024-04-02,11225.172830091022,0.6139633805845193,,18283.130859375,1,Calm/Bull,1.0
2024-04-03,11277.107896522888,0.6139633805845193,,18367.720703125,1,Calm/Bull,1.0
2024-04-04,11298.848435761165,0.6139633805845193,,18403.130859375,1,Calm/Bull,1.0
2024-04-05,11158.808425068191,0.6139633805845193,,18175.0390625,1,Calm/Bull,1.0
2024-04-08,11247.177181719393,0.6139633805845193,,18318.970703125,1,Calm/Bull,1.0
2024-04-09,11098.42536641715,0.6139633805845193,,18076.689453125,1,Calm/Bull,1.0
2024-04-10,11111.07996711111,0.6139633805845193,,18097.30078125,1,Calm/Bull,1.0
2024-04-11,11023.393525232474,0.6139633805845193,,17954.48046875,1,Calm/Bull,1.0
2024-04-12,11008.560074025774,0.6139633805845193,,17930.3203125,1,Calm/Bull,1.0
2024-04-15,11067.660045143173,0.6139633805845193,,18026.580078125,1,Calm/Bull,1.0
2024-04-16,10907.81491883744,0.6139633805845193,,17766.23046875,1,Calm/Bull,1.0
2024-04-17,10910.141264459184,0.6139633805845193,,17770.01953125,1,Calm/Bull,1.0
2024-04-18,10951.51064466775,0.6139633805845193,,17837.400390625,1,Calm/Bull,1.0
2024-04-19,10890.089124517515,0.6139633805845193,,17737.359375,1,Calm/Bull,1.0
2024-04-22,10965.877627602873,0.6139633805845193,,17860.80078125,1,Calm/Bull,1.0
2024-04-23,11135.853149688252,0.6139633805845193,,18137.650390625,1,Calm/Bull,1.0
2024-04-24,11105.798922720303,0.6139633805845193,,18088.69921875,1,Calm/Bull,1.0
2024-04-25,11000.553367986393,0.6139633805845193,,17917.279296875,1,Calm/Bull,1.0
2024-04-26,11150.194950531593,0.6139633805845193,,18161.009765625,1,Calm/Bull,1.0
2024-04-29,11123.985189575664,0.6139633805845193,,18118.3203125,1,Calm/Bull,1.0
2024-04-30,11009.69566645041,0.6139633805845193,,17932.169921875,1,Calm/Bull,1.0
2024-05-02,10987.79564063085,0.6139633805845193,,17896.5,1,Calm/Bull,1.0
2024-05-03,11052.322952100836,0.6139633805845193,,18001.599609375,1,Calm/Bull,1.0
2024-05-06,11158.913950024229,0.6139633805845193,,18175.2109375,1,Calm/Bull,1.0
2024-05-07,11315.37628200061,0.6139633805845193,,18430.05078125,1,Calm/Bull,1.0
2024-05-08,11357.32844776184,0.6139633805845193,,18498.380859375,1,Calm/Bull,1.0
2024-05-09,11472.887867801232,0.6139633805845193,,18686.599609375,1,Calm/Bull,1.0
2024-05-10,11525.842209376648,0.6139633805845193,,18772.849609375,1,Calm/Bull,1.0
2024-05-13,11507.03718255179,0.6139633805845193,,18742.220703125,1,Calm/Bull,1.0
2024-05-14,11491.19644767382,0.6139633805845193,,18716.419921875,1,Calm/Bull,1.0
2024-05-15,11585.095671339192,0.6139633805845193,,18869.359375,1,Calm/Bull,1.0
2024-05-16,11504.943471492219,0.6139633805845193,,18738.810546875,1,Calm/Bull,1.0
2024-05-17,11483.828887106805,0.6139633805845193,,18704.419921875,1,Calm/Bull,1.0
2024-05-20,11523.454707246288,0.6139633805845193,,18768.9609375,1,Calm/Bull,1.0
2024-05-21,11497.544733097286,0.6139633805845193,,18726.759765625,1,Calm/Bull,1.0
2024-05-22,11468.958262336046,0.6139633805845193,,18680.19921875,1,Calm/Bull,1.0
2024-05-23,11475.786206650593,0.6139633805845193,,18691.3203125,1,Calm/Bull,1.0
2024-05-24,11477.044112092455,0.6139633805845193,,18693.369140625,1,Calm/Bull,1.0
2024-05-27,11526.984996684649,0.6139633805845193,,18774.7109375,1,Calm/Bull,1.0
2024-05-28,11467.527679693394,0.6139633805845193,,18677.869140625,1,Calm/Bull,1.0
2024-05-29,11341.923003327525,0.6139633805845193,,18473.2890625,1,Calm/Bull,1.0
2024-05-30,11356.35114277126,0.6139633805845193,,18496.7890625,1,Calm/Bull,1.0
2024-05-31,11345.700383047892,0.0,SELL,18497.939453125,-1,Stress/Bear,0.0
2024-06-03,11345.700383047892,0.0,,18608.16015625,1,Calm/Bull,1.0
2024-06-04,11345.700383047892,0.0,,18405.640625,1,Calm/Bull,1.0
2024-06-05,11334.354682664843,0.6101632012349224,BUY,18575.939453125,1,Calm/Bull,1.0
2024-06-06,11381.1727911096,0.6101632012349224,,18652.669921875,1,Calm/Bull,1.0
2024-06-07,11322.962983366788,0.6101632012349224,,18557.26953125,1,Calm/Bull,1.0
2024-06-10,11284.901670239755,0.6101632012349224,,18494.890625,1,Calm/Bull,1.0
2024-06-11,11208.66106321045,0.6101632012349224,,18369.939453125,1,Calm/Bull,1.0
2024-06-12,11367.864798007666,0.6101632012349224,,18630.859375,1,Calm/Bull,1.0
2024-06-13,11145.045590856696,0.6101632012349224,,18265.6796875,1,Calm/Bull,1.0
2024-06-14,10984.169865881096,0.6101632012349224,,18002.01953125,1,Calm/Bull,1.0
2024-06-17,11024.55742621284,0.6101632012349224,,18068.2109375,1,Calm/Bull,1.0
2024-06-18,11063.461288916576,0.6101632012349224,,18131.970703125,1,Calm/Bull,1.0
2024-06-19,11024.373900562467,0.6101632012349224,,18067.91015625,1,Calm/Bull,1.0
2024-06-20,11138.028714042495,0.6101632012349224,,18254.1796875,1,Calm/Bull,1.0
2024-06-21,11071.628511657656,0.0,SELL,18163.51953125,-1,Stress/Bear,0.0
