Date,market,Close,Regime,Regime_Name,Stress_Score
2017-09-19,bist100,1049.17236328125,0,Calm/Bull,1.566323836768495e-05
2017-09-20,bist100,1053.2314453125,0,Calm/Bull,3.3280728189970732e-06
2017-09-21,bist100,1040.0064697265625,0,Calm/Bull,2.1986743650638907e-06
2017-09-22,bist100,1041.2235107421875,0,Calm/Bull,1.3544332465917772e-06
2017-09-25,bist100,1022.6965942382812,0,Calm/Bull,3.670323745158946e-05
2017-09-26,bist100,1039.2874755859375,0,Calm/Bull,0.0007383593965184118
2017-09-27,bist100,1012.1776123046876,0,Calm/Bull,0.01549391425609945
2017-09-28,bist100,1026.5054931640625,0,Calm/Bull,0.007467009889250194
2017-09-29,bist100,1029.071533203125,0,Calm/Bull,0.000390873742462567
2017-10-02,bist100,1039.301513671875,0,Calm/Bull,0.0015233519325194612
2017-10-03,bist100,1039.070556640625,0,Calm/Bull,0.000382482227701007
2017-10-04,bist100,1045.4735107421875,0,Calm/Bull,0.00106921445190207
2017-10-05,bist100,1043.3375244140625,0,Calm/Bull,0.0007852664159826966
2017-10-06,bist100,1041.3695068359375,0,Calm/Bull,0.0009528928334726358
2017-10-09,bist100,1012.974609375,0,Calm/Bull,0.04148772830925174
2017-10-10,bist100,1033.9344482421875,0,Calm/Bull,0.007910245812089739
2017-10-11,bist100,1038.154541015625,0,Calm/Bull,0.0017798842985001135
2017-10-12,bist100,1059.3173828125,0,Calm/Bull,0.003987638470049925
2017-10-13,bist100,1062.2513427734375,0,Calm/Bull,0.0005775796402486962
2017-10-16,bist100,1064.7393798828125,0,Calm/Bull,0.0020128473893883453
2017-10-17,bist100,1069.9034423828125,0,Calm/Bull,0.0005394692360604641
2017-10-18,bist100,1069.2584228515625,0,Calm/Bull,0.0008464147953377502
2017-10-19,bist100,1084.330322265625,0,Calm/Bull,0.0007795026448290499
2017-10-20,bist100,1084.8812255859375,0,Calm/Bull,0.00040917578056495177
2017-10-23,bist100,1073.0272216796875,0,Calm/Bull,0.0017557233026311671
2017-10-24,bist100,1072.0572509765625,0,Calm/Bull,0.00039743427566683485
2017-10-25,bist100,1083.542236328125,0,Calm/Bull,5.463691928858181e-05
2017-10-26,bist100,1073.34228515625,0,Calm/Bull,7.159940630545311e-05
2017-10-27,bist100,1078.834228515625,0,Calm/Bull,7.429713584996313e-05
2017-10-30,bist100,1084.6622314453125,0,Calm/Bull,4.354997508369685e-05
2017-10-31,bist100,1101.420166015625,0,Calm/Bull,0.0005248569664546674
2017-11-01,bist100,1130.237060546875,1,Transition,0.014164291503495697
2017-11-02,bist100,1129.9429931640625,1,Transition,0.04027471869794946
2017-11-03,bist100,1112.922119140625,0,Calm/Bull,0.014639901688833673
2017-11-06,bist100,1141.65087890625,1,Transition,0.006009202709750635
2017-11-07,bist100,1122.7130126953125,0,Calm/Bull,0.0010606630389850247
2017-11-08,bist100,1118.93896484375,0,Calm/Bull,0.0005419350114354459
2017-11-09,bist100,1102.4591064453125,0,Calm/Bull,0.0009597210029394491
2017-11-10,bist100,1089.48828125,0,Calm/Bull,0.000537510223227514
2017-11-13,bist100,1088.5902099609375,0,Calm/Bull,0.0014587800870118277
2017-11-14,bist100,1101.4791259765625,0,Calm/Bull,0.011352474462047743
