Date,market,log_return,volatility_20,volatility_60,range_pct,volume_ratio,return_ma5,return_ma20,volatility_ratio,kmeans_regime
2017-12-27,sp500,0.0007906283102422,0.0036828886865853,0.0034708907902884,0.0025087340639962,0.6297114372851259,8.576638223115362e-05,0.001046811032236,1.0610788149515,0
2017-12-28,sp500,0.0018323190029195,0.0036712182629813,0.0034692834485617,0.0018492638736123,0.6392069083686556,0.0006178773975295,0.0011568916765215,1.0582064905948554,0
2017-12-29,sp500,-0.0051966322927482,0.0035431164210998,0.0035593388743066,0.006923227030838,0.747046086092685,-0.0008181864635517,0.0004891807287435,0.9954422847108302,0
2018-01-02,sp500,0.0082690782183981,0.0038893749443664,0.0036346560325496,0.0050188198953852,1.0457137932414255,0.0009272835077506,0.0010039637864537,1.0700806099767557,0
2018-01-03,sp500,0.006378433243936,0.0040347923015858,0.0036924695259365,0.0061185883459042,1.0989855401209276,0.0024147652965495,0.0013755209761148,1.092708355003258,0
2018-01-04,sp500,0.0040205428553269,0.003886937165354,0.0036930375986046,0.0037518385676026,1.1438699529871534,0.0030607482055664,0.0017638676451789,1.0525040868315645,0
2018-01-05,sp500,0.0070091458885853,0.0040295384704669,0.0037674178255201,0.00566138557853,1.0023709485465175,0.0040961135826996,0.0021200305481347,1.069575676786169,0
2018-01-08,sp500,0.0016609637672969,0.0040261249965463,0.003767088213635,0.0039705472063916,1.0052916115553907,0.0054676327947086,0.0020566753859941,1.0687631316871442,0
2018-01-09,sp500,0.0013020835172984,0.0039462171569912,0.0037478222459677,0.0040998168117868,1.0681898032675126,0.0040742338544887,0.0018472194600831,1.0529360513927617,0
2018-01-10,sp500,-0.0011128458115206,0.0039861061446495,0.0037600557537645,0.0053634485975081,1.095430748100652,0.0025759780433974,0.0016317350634223,1.060118893359146,0
2018-01-11,sp500,0.007009025768882,0.0041631763440094,0.0038330430243288,0.005340454763025,1.1142532164724834,0.0031736746261084,0.0019048001657619,1.0861282583016347,0
2018-01-12,sp500,0.006726926399094,0.0042569778708912,0.0038950418257636,0.0065357633017797,1.0960667915032687,0.0031172307282101,0.0022647999342241,1.0929222486735537,0
2018-01-16,sp500,-0.0035307132616026,0.0042155249321953,0.0039462871282412,0.0140109016571616,1.314588705163812,0.0020788953224302,0.0022922226576821,1.0682255992037195,0
2018-01-17,sp500,0.009371006206502,0.0042527058294347,0.0040773211732351,0.0102264200055648,1.1765801466340564,0.0036926798602709,0.0023140572975001,1.043014677713116,0
2018-01-18,sp500,-0.0016176974974736,0.0042763070230735,0.0040688193889378,0.0047426294186644,1.1499983464096362,0.0035917095230803,0.0019657484936465,1.0509945550052684,0
2018-01-19,sp500,0.0043756479869901,0.0041250671840997,0.0040248952526642,0.0043589651592925,1.150841462220029,0.0030650339667019,0.002346305795152,1.02488808407354,0
2018-01-22,sp500,0.0080343643822132,0.0042405090078346,0.0041117817527352,0.0087928613317396,1.0742627850549318,0.0033265215633258,0.0027894358179413,1.031306927954968,0
2018-01-23,sp500,0.0021720049682223,0.0042388344525064,0.0040280383826247,0.0041033354670654,1.086020727117488,0.0044670652092908,0.0027988517157194,1.0523321899788631,0
2018-01-24,sp500,-0.000560132547232,0.004243013060214,0.0040385997177088,0.0099240580649846,1.219670223478787,0.002480837458544,0.0027937586702635,1.0506149053615847,0
2018-01-25,sp500,0.0006024393988328,0.0041794002325209,0.0039543541430935,0.0062059054988113,1.1260026339582927,0.0029248648378053,0.0028768294252081,1.0569109597380115,0
2018-01-26,sp500,0.0117716381060841,0.0045918497438901,0.0041161532155822,0.0092904254136641,0.991836505171298,0.0044040628616241,0.0034258799150002,1.115568226786856,0
2018-01-29,sp500,-0.006754736284863,0.0051198027883557,0.0042619220914052,0.0067075294537784,1.0037814374218903,0.0014462427282088,0.0029965271506111,1.2012896243881317,0
2018-01-30,sp500,-0.010958642805337,0.0057307761016572,0.004565034665956,0.0069018473232483,1.0985588922163312,-0.001179886826503,0.0027084266249816,1.2553631069649365,0
2018-01-31,sp500,0.0004888658586947,0.0055959248257476,0.0045637426070047,0.0092853167029876,1.156979737628931,-0.0009700871453176,0.0023194160069965,1.226170121241861,0
2018-02-01,sp500,-0.0006482983520233,0.0055480488661085,0.0045672526467496,0.0082424432230597,1.0698408612458596,-0.0012202346954888,0.0019680794271985,1.2147453393139696,0
2018-02-02,sp500,-0.0214366805166988,0.0075950217386848,0.0054393591937917,0.0177218136903947,1.1574307353486095,-0.0078618984200454,0.0006952182585972,1.3963081804477029,1
2018-02-05,sp500,-0.0418425409383814,0.0120225088438361,0.0077636590569234,0.0472717288700207,1.378203052976519,-0.0148794593507491,-0.001747366082751,1.5485621864235144,1
2018-02-06,sp500,0.017290573348937,0.0127421510407416,0.0080644965737387,0.0400609894129995,1.484156556338431,-0.0092296161198943,-0.000965885603669,1.580030560399172,1
2018-02-07,sp500,-0.0050141382237526,0.0127612402099908,0.0080776131024348,0.0172802835813544,1.1483818155124847,-0.0103302169363838,-0.0012816966907216,1.5798281061696573,1
2018-02-08,sp500,-0.0382590522458017,0.0152046392900137,0.0095093243344361,0.0405695315526927,1.290345991957231,-0.0178523677151394,-0.0031390070124356,1.598918993114271,1
2018-02-09,sp500,0.0148256451995243,0.0155751678974628,0.0096997987553479,0.0404573222474451,1.343314906588301,-0.0105999025718948,-0.0027481760409035,1.6057207257908774,1
2018-02-12,sp500,0.0138186656781862,0.015879976278727,0.0098507329443385,0.0188856009977409,0.955222240897358,0.0005323387514186,-0.0023935890769489,1.612060378497379,1
2018-02-13,sp500,0.0026095219802775,0.0159161490813974,0.0098222962342006,0.0119266714475179,0.8308123893616441,-0.0024038715223132,-0.0020865773148549,1.620410207745342,1
2018-02-14,sp500,0.013313439808897,0.0160889949281645,0.009911378621138,0.0197248169553632,0.9488787477072954,0.0012616440842166,-0.0018894556347351,1.6232852707141512,1
2018-02-15,sp500,0.0119968617767752,0.0163863671606164,0.0100071862015211,0.0152643314849072,0.874261748689071,0.011312826888732,-0.0012087276710227,1.6374600043042624,0
2018-02-16,sp500,0.0003733996499216,0.0163389501072072,0.0100073770172205,0.0107274724463646,0.8634089919851775,0.0084223777788115,-0.0014088400878761,1.6326905720741258,0
2018-02-20,sp500,-0.0058585171068373,0.0162111713084008,0.0100180169896438,0.0113538791499146,0.8618028521881163,0.0044869412218068,-0.0021034841623287,1.6182016186595831,0
2018-02-21,sp500,-0.0055116644833109,0.0161955539311499,0.0100487946598871,0.0171989203813804,0.8927722146018906,0.0028627039290891,-0.0024876676349053,1.6116912007167792,1
2018-02-22,sp500,0.0009730774855778,0.016208781252641,0.0100472146004533,0.0123855348149325,0.8803709056560557,0.0003946314644253,-0.0024110071332648,1.6132611770738614,1
2018-02-23,sp500,0.015901278245121,0.0167116779473435,0.0102373106992047,0.0123830739004141,0.7633428653001664,0.0011755147580944,-0.0016460651909504,1.632428519400278,0
2018-02-26,sp500,0.0116884386206273,0.0167081721267497,0.0102679599156273,0.0096632113748658,0.8200604464052095,0.0034385225522356,-0.0016502251652232,1.627214389619955,0
2018-02-27,sp500,-0.0127883114414675,0.0168589786030015,0.0104188805274277,0.0163722109846554,0.893586800502133,0.0020525636853095,-0.0019519039230535,1.6181180462354132,1
2018-02-28,sp500,-0.011157806083656,0.0168646365248475,0.0104838150550547,0.0176798027464931,1.0080888025019286,0.0009233353652405,-0.0019618620869694,1.6086354477148332,1
2018-03-01,sp500,-0.0134139658548764,0.0170438806952952,0.0106307515332179,0.026605217339294,1.0691704739198322,-0.0019540733028503,-0.002657003672648,1.603262068729389,1
2018-03-02,sp500,0.0050587854851985,0.0171268540739246,0.0106475949218022,0.0181811171911286,0.9225088970397096,-0.0041225718548348,-0.0023716494807869,1.608518562145463,1
2018-03-05,sp500,0.0109716176105265,0.0167572544507482,0.010721512678984,0.0192360320395658,0.8915543111965447,-0.0042659360568549,-0.0007512345744256,1.562956175353431,1
2018-03-06,sp500,0.0026353829319968,0.0136870384164664,0.0107244176908988,0.0076316538367229,0.8282700307476336,-0.0011811971821621,0.0014726616190932,1.2762500315594587,0
2018-03-07,sp500,-0.0004839918257163,0.0131733199158779,0.0107209909450214,0.0105838737366452,0.8589382587306021,0.0009535656694258,0.0005839333603605,1.2287408863072842,0
2018-03-08,sp500,0.0044531482088846,0.0131316045778246,0.0107137306184948,0.006498811238721,0.8232962717675817,0.004526988482178,0.0010572976819924,1.2256799284420954,0
2018-03-09,sp500,0.0172295467412075,0.0098359137163925,0.0109237970909619,0.0125710204436019,0.8895155220112201,0.0069611407333798,0.0038317276313428,0.9004116091217492,0
2018-03-12,sp500,-0.0012747973379984,0.0095432752166709,0.0109264893458275,0.0063671732789437,0.875924572072716,0.0045118577436748,0.0030267055044667,0.8734072687596719,0
2018-03-13,sp500,-0.0063839104143147,0.0094091053853571,0.0109640813852354,0.0156293398524372,0.9144224491482844,0.0027079990744125,0.0020165766998417,0.8581754416770174,0
2018-03-14,sp500,-0.0057409698251887,0.0095653855872294,0.0109782668779509,0.0119041509092184,0.9351718879004768,0.001656603474518,0.0015990521095683,0.8713019726675431,0
2018-03-15,sp500,-0.0007822363990965,0.0091678634330626,0.0109248007225064,0.0078476404293088,0.9825784619420018,0.0006095265529218,0.0008942682991687,0.8391790080139135,0
2018-03-16,sp500,0.0017019979472317,0.008793030472184,0.0109071583513804,0.0043168908946435,1.470040207771517,-0.0024959832058733,0.0003795251076915,0.8061706073123165,0
